ticker,close_time,strike,result
KXETH-26MAR1702-B2290,2026-03-24 06:00:00+00:00,2290.0,no
KXETH-26MAR1701-B2590,2026-03-24 05:00:00+00:00,2590.0,no
KXETH-26MAR1717-B2140,2026-03-24 21:00:00+00:00,2140.0,no
KXETH-26MAR1700-B2150,2026-03-24 04:00:00+00:00,2150.0,no
KXETH-26MAR1623-B2130,2026-03-24 03:00:00+00:00,2130.0,no
KXETH-26MAR1621-B2490,2026-03-24 01:00:00+00:00,2490.0,no
KXETH-26MAR1622-B2130,2026-03-24 02:00:00+00:00,2130.0,no
KXETH-26MAR1620-B2150,2026-03-24 00:00:00+00:00,2150.0,no
KXETH-26MAR1619-B2150,2026-03-23 23:00:00+00:00,2150.0,no
KXETH-26MAR1616-B2490,2026-03-23 20:00:00+00:00,2490.0,no
